"genesetname","p_value","estimate","diff","bh"
"HALLMARK_MTORC1_SIGNALING",0.126539493891371,0.235426989380047,"DOWN",0.924841878335635
"HALLMARK_E2F_TARGETS",1,Inf,"UP",1
"HALLMARK_E2F_TARGETS",1,Inf,"DOWN",1
"HALLMARK_MYC_TARGETS_V1",1,Inf,"UP",1
"HALLMARK_MYC_TARGETS_V1",1,Inf,"DOWN",1
"HALLMARK_MYC_TARGETS_V2",1,Inf,"UP",1
"HALLMARK_MYC_TARGETS_V2",1,Inf,"DOWN",1
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000295458465920065,Inf,"UP",0.0147729232960033
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.48517377574569e-07,0.22015387113846,"DOWN",3.48517377574569e-05
"HALLMARK_INFLAMMATORY_RESPONSE",0.768343071606884,0.828339383582962,"UP",1
"HALLMARK_INFLAMMATORY_RESPONSE",0.24298948346674,3.77228103072879,"DOWN",0.927154078363818
"HALLMARK_XENOBIOTIC_METABOLISM",0.167445444315718,0.442025253817985,"UP",0.927154078363818
"HALLMARK_XENOBIOTIC_METABOLISM",0.735001638528176,0.829567001685297,"DOWN",1
"HALLMARK_FATTY_ACID_METABOLISM",0.0113908284759019,0.207559465553997,"UP",0.284770711897547
"HALLMARK_FATTY_ACID_METABOLISM",1,1.55368725487134,"DOWN",1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1,0,"UP",1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1,0,"DOWN",1
"HALLMARK_GLYCOLYSIS",1,0.951643393467967,"UP",1
"HALLMARK_GLYCOLYSIS",0.24691301635462,0.412857639394003,"DOWN",0.927154078363818
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1,Inf,"UP",1
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1,Inf,"DOWN",1
"HALLMARK_P53_PATHWAY",1,Inf,"UP",1
"HALLMARK_P53_PATHWAY",1,Inf,"DOWN",1
"HALLMARK_UV_RESPONSE_UP",1,1.31213173134804,"UP",1
"HALLMARK_UV_RESPONSE_UP",1,1.31213173134804,"DOWN",1
"HALLMARK_UV_RESPONSE_DN",0.157223119317058,Inf,"UP",0.924841878335635
"HALLMARK_UV_RESPONSE_DN",0.0056474214854724,0.244132664731707,"DOWN",0.18824738284908
"HALLMARK_ANGIOGENESIS",0.628036473335469,Inf,"UP",1
"HALLMARK_ANGIOGENESIS",0.0306179860907278,0.232342939061968,"DOWN",0.612359721814556
"HALLMARK_HEME_METABOLISM",1,1.07158654070595,"UP",1
"HALLMARK_HEME_METABOLISM",0.288474822531724,0.472193200727074,"DOWN",1
"HALLMARK_COAGULATION",1,0.991460171092156,"UP",1
"HALLMARK_COAGULATION",0.109001061637295,0.42410139891104,"DOWN",0.924841878335635
"HALLMARK_IL2_STAT5_SIGNALING",0.711598618849884,2.16182347466524,"UP",1
"HALLMARK_IL2_STAT5_SIGNALING",0.444650824433157,0.629040821915925,"DOWN",1
"HALLMARK_BILE_ACID_METABOLISM",0.205616290512315,0.353599236519765,"UP",0.927154078363818
"HALLMARK_BILE_ACID_METABOLISM",1,Inf,"DOWN",1
"HALLMARK_PEROXISOME",0.36261486599259,0.355546462703539,"UP",1
"HALLMARK_PEROXISOME",1,Inf,"DOWN",1
"HALLMARK_ALLOGRAFT_REJECTION",0.15534689924714,Inf,"UP",0.924841878335635
"HALLMARK_ALLOGRAFT_REJECTION",0.717189748339079,2.40680995859013,"DOWN",1
"HALLMARK_SPERMATOGENESIS",0.609037246978089,Inf,"UP",1
"HALLMARK_SPERMATOGENESIS",0.609037246978089,Inf,"DOWN",1
"HALLMARK_KRAS_SIGNALING_UP",0.473529245998229,1.86359869297286,"UP",1
"HALLMARK_KRAS_SIGNALING_UP",0.637943581208587,0.846362789817005,"DOWN",1
"HALLMARK_KRAS_SIGNALING_DN",0.115119557596867,0.408697325334202,"UP",0.924841878335635
"HALLMARK_KRAS_SIGNALING_DN",0.245110500388914,Inf,"DOWN",0.927154078363818
"HALLMARK_PANCREAS_BETA_CELLS",1,Inf,"UP",1
"HALLMARK_PANCREAS_BETA_CELLS",1,Inf,"DOWN",1
