"genesetname","p_value","estimate","diff","bh"
"GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",0.0417979039429464,0.580303874744655,"DOWN",1
"GO_ION_TRANSPORT",0.874644004424807,0.956628180836473,"UP",1
"GO_ION_TRANSPORT",0.0393749758859947,2.37401740879057,"DOWN",1
"GO_LIPID_MODIFICATION",0.611776725727992,Inf,"UP",1
"GO_LIPID_MODIFICATION",0.288474822531724,0.472193200727074,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT",1,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT",1,Inf,"DOWN",1
"GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION",1,Inf,"UP",1
"GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION",1,Inf,"DOWN",1
"GO_ACYLGLYCEROL_HOMEOSTASIS",1,Inf,"UP",1
"GO_ACYLGLYCEROL_HOMEOSTASIS",0.36261486599259,0.355546462703539,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY",0.628036473335469,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY",0.126580322098698,0.351640166308592,"DOWN",1
"GO_HEMOGLOBIN_METABOLIC_PROCESS",1,0,"UP",1
"GO_HEMOGLOBIN_METABOLIC_PROCESS",1,0,"DOWN",1
"GO_SINGLE_FERTILIZATION",1,Inf,"UP",1
"GO_SINGLE_FERTILIZATION",1,Inf,"DOWN",1
"GO_CHROMOSOME_ORGANIZATION",0.506777915664413,2.89978919563721,"UP",1
"GO_CHROMOSOME_ORGANIZATION",0.329272581986387,0.617022604064003,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY",1,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY",0.126539493891371,0.235426989380047,"DOWN",1
"GO_SYNAPTIC_VESICLE_LOCALIZATION",1,1.07158654070595,"UP",1
"GO_SYNAPTIC_VESICLE_LOCALIZATION",0.611776725727992,Inf,"DOWN",1
"GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS",0.0440646623052678,0.194801534901928,"UP",1
"GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS",1,Inf,"DOWN",1
"GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",1,Inf,"UP",1
"GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",1,Inf,"DOWN",1
"GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION",1,0,"UP",1
"GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION",1,0,"DOWN",1
"GO_METANEPHRIC_NEPHRON_MORPHOGENESIS",1,Inf,"UP",1
"GO_METANEPHRIC_NEPHRON_MORPHOGENESIS",0.49146096923459,0.59330559407767,"DOWN",1
"GO_RESPONSE_TO_UV_C",1,0,"UP",1
"GO_RESPONSE_TO_UV_C",1,0,"DOWN",1
"GO_CARBOHYDRATE_CATABOLIC_PROCESS",1,Inf,"UP",1
"GO_CARBOHYDRATE_CATABOLIC_PROCESS",1,Inf,"DOWN",1
"GO_DENTATE_GYRUS_DEVELOPMENT",1,0,"UP",1
"GO_DENTATE_GYRUS_DEVELOPMENT",1,0,"DOWN",1
"GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT",1,0,"UP",1
"GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT",1,0,"DOWN",1
"GO_LABYRINTHINE_LAYER_DEVELOPMENT",1,Inf,"UP",1
"GO_LABYRINTHINE_LAYER_DEVELOPMENT",1,Inf,"DOWN",1
"GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION",1,0,"UP",1
"GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION",1,0,"DOWN",1
"GO_CERAMIDE_CATABOLIC_PROCESS",1,0,"UP",1
"GO_CERAMIDE_CATABOLIC_PROCESS",1,0,"DOWN",1
"GO_EXCRETION",0.609037246978089,Inf,"UP",1
"GO_EXCRETION",0.609037246978089,Inf,"DOWN",1
"GO_DIGESTION",0.0227899331736359,0.306703690331138,"UP",1
"GO_DIGESTION",0.157223119317058,Inf,"DOWN",1
"GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC",1,Inf,"DOWN",1
"GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION",1,Inf,"DOWN",1
"GO_HINDBRAIN_DEVELOPMENT",0.628036473335469,Inf,"UP",1
"GO_HINDBRAIN_DEVELOPMENT",0.628036473335469,Inf,"DOWN",1
"GO_OLIGOSACCHARIDE_METABOLIC_PROCESS",1,Inf,"UP",1
"GO_OLIGOSACCHARIDE_METABOLIC_PROCESS",1,Inf,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT",1,0,"UP",1
"GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT",1,0,"DOWN",1
"GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST",1,Inf,"UP",1
"GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST",1,Inf,"DOWN",1
"GO_CHROMOSOME_SEGREGATION",1,Inf,"UP",1
"GO_CHROMOSOME_SEGREGATION",0.286537803859308,0.236959604707618,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",1,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",1,Inf,"DOWN",1
"GO_ETHER_METABOLIC_PROCESS",1,0,"UP",1
"GO_ETHER_METABOLIC_PROCESS",1,0,"DOWN",1
"GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION",1,Inf,"UP",1
"GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION",1,Inf,"DOWN",1
"GO_CYTOKINE_METABOLIC_PROCESS",0.382272857441568,Inf,"UP",1
"GO_CYTOKINE_METABOLIC_PROCESS",0.382272857441568,Inf,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",1,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",0.165228383460553,0.294470691081141,"DOWN",1
"GO_STEROID_BIOSYNTHETIC_PROCESS",0.126580322098698,0.351640166308592,"UP",1
"GO_STEROID_BIOSYNTHETIC_PROCESS",1,1.31213173134804,"DOWN",1
"GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT",1,Inf,"UP",1
"GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT",1,Inf,"DOWN",1
"GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY",1,Inf,"UP",1
"GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY",1,Inf,"DOWN",1
"GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",1,0,"UP",1
"GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION",1,0,"DOWN",1
"GO_N_GLYCAN_PROCESSING",1,Inf,"UP",1
"GO_N_GLYCAN_PROCESSING",1,Inf,"DOWN",1
"GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT",1,0,"UP",1
"GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT",1,0,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS",1,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS",0.165228383460553,0.294470691081141,"DOWN",1
"GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY",1,Inf,"UP",1
"GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY",1,Inf,"DOWN",1
"GO_MEMBRANE_DEPOLARIZATION",1,Inf,"UP",1
"GO_MEMBRANE_DEPOLARIZATION",0.205616290512315,0.353599236519765,"DOWN",1
"GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION",1,Inf,"UP",1
"GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION",0.286537803859308,0.236959604707618,"DOWN",1
"GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",1,0,"UP",1
"GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",1,0,"DOWN",1
"GO_REGULATION_OF_LYASE_ACTIVITY",1,Inf,"UP",1
"GO_REGULATION_OF_LYASE_ACTIVITY",1,Inf,"DOWN",1
"GO_RESPONSE_TO_NITROGEN_COMPOUND",0.600786101501849,1.30523870191754,"UP",1
"GO_RESPONSE_TO_NITROGEN_COMPOUND",0.483936449075721,0.79665276698212,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",0.618392974496019,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",0.102589738096705,0.312349391353365,"DOWN",1
"GO_REGULATION_OF_DNA_RECOMBINATION",1,Inf,"UP",1
"GO_REGULATION_OF_DNA_RECOMBINATION",1,Inf,"DOWN",1
"GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION",0.354391635798108,3.39681932389382,"UP",1
"GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION",0.354391635798108,3.39681932389382,"DOWN",1
"GO_RESPONSE_TO_ETHANOL",1,1.31213173134804,"UP",1
"GO_RESPONSE_TO_ETHANOL",0.628036473335469,Inf,"DOWN",1
"GO_SULFUR_COMPOUND_METABOLIC_PROCESS",0.0406736599632883,0.261623810667044,"UP",1
"GO_SULFUR_COMPOUND_METABOLIC_PROCESS",0.639992843847797,0.650955246173021,"DOWN",1
"GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT",1,0,"UP",1
"GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT",1,0,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING",1,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING",1,Inf,"DOWN",1
"GO_POSITIVE_REGULATION_OF_DNA_REPLICATION",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_DNA_REPLICATION",1,Inf,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS",0.609037246978089,Inf,"UP",1
"GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS",0.24691301635462,0.412857639394003,"DOWN",1
"GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS",0.611776725727992,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS",1,1.07158654070595,"DOWN",1
"GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT",1,Inf,"DOWN",1
"GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",1,Inf,"DOWN",1
"GO_NUCLEOTIDE_PHOSPHORYLATION",1,0,"UP",1
"GO_NUCLEOTIDE_PHOSPHORYLATION",1,0,"DOWN",1
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC",1,Inf,"DOWN",1
"GO_GLUTAMATE_SECRETION",1,Inf,"UP",1
"GO_GLUTAMATE_SECRETION",1,Inf,"DOWN",1
"GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING",0.0298172699684151,0.155786295614803,"DOWN",1
"GO_REGULATION_OF_VASCULOGENESIS",0.201465658227302,0.118578096465687,"UP",1
"GO_REGULATION_OF_VASCULOGENESIS",1,Inf,"DOWN",1
"GO_LENS_FIBER_CELL_DIFFERENTIATION",1,Inf,"UP",1
"GO_LENS_FIBER_CELL_DIFFERENTIATION",0.286537803859308,0.236959604707618,"DOWN",1
"GO_SENSORY_PERCEPTION",1,1.22892835582438,"UP",1
"GO_SENSORY_PERCEPTION",1,1.22892835582438,"DOWN",1
"GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT",0.628036473335469,Inf,"UP",1
"GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT",0.370423078467668,0.59125035020164,"DOWN",1
"GO_FATTY_ACID_CATABOLIC_PROCESS",0.126539493891371,0.235426989380047,"UP",1
"GO_FATTY_ACID_CATABOLIC_PROCESS",1,Inf,"DOWN",1
"GO_REGULATION_OF_VESICLE_FUSION",1,Inf,"UP",1
"GO_REGULATION_OF_VESICLE_FUSION",1,Inf,"DOWN",1
"GO_REGULATION_OF_LIPID_STORAGE",1,Inf,"UP",1
"GO_REGULATION_OF_LIPID_STORAGE",1,Inf,"DOWN",1
"GO_CARBOHYDRATE_TRANSPORT",0.179615646606887,0.430508100378919,"UP",1
"GO_CARBOHYDRATE_TRANSPORT",1,1.55368725487134,"DOWN",1
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",0.304853613112523,2.37275857941591,"UP",1
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",0.00065311441332487,0.266821621169387,"DOWN",0.422343538870457
"GO_EMBRYONIC_HEMOPOIESIS",1,0,"UP",1
"GO_EMBRYONIC_HEMOPOIESIS",1,0,"DOWN",1
"GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING",0.11145331441706,3.20666454171664,"UP",1
"GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING",0.0673293555205152,0.502059789979877,"DOWN",1
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0.609037246978089,Inf,"UP",1
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0.609037246978089,Inf,"DOWN",1
"GO_RESPONSE_TO_IONIZING_RADIATION",0.609037246978089,Inf,"UP",1
"GO_RESPONSE_TO_IONIZING_RADIATION",0.0610777500642457,0.233888114834693,"DOWN",1
"GO_EPITHELIUM_DEVELOPMENT",0.0719106455648453,1.96304495618049,"UP",1
"GO_EPITHELIUM_DEVELOPMENT",0.134609113686561,0.670774343728322,"DOWN",1
"GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION",1,Inf,"UP",1
"GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION",0.286537803859308,0.236959604707618,"DOWN",1
"GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS",1,Inf,"UP",1
"GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS",0.286537803859308,0.236959604707618,"DOWN",1
"GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT",1,Inf,"UP",1
"GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT",1,Inf,"DOWN",1
"GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON",1,Inf,"UP",1
"GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON",1,Inf,"DOWN",1
"GO_NUCLEAR_ENVELOPE_REASSEMBLY",1,0,"UP",1
"GO_NUCLEAR_ENVELOPE_REASSEMBLY",1,0,"DOWN",1
"GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",1,Inf,"UP",1
"GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",1,Inf,"DOWN",1
"GO_REGULATION_OF_AUTOPHAGY",1,1.19178258082022,"UP",1
"GO_REGULATION_OF_AUTOPHAGY",0.32978261907284,0.531688078221349,"DOWN",1
"GO_PHOSPHOLIPID_METABOLIC_PROCESS",0.391169523308898,Inf,"UP",1
"GO_PHOSPHOLIPID_METABOLIC_PROCESS",0.668551748210635,0.770716504229713,"DOWN",1
"GO_AMMONIUM_ION_METABOLIC_PROCESS",1,Inf,"UP",1
"GO_AMMONIUM_ION_METABOLIC_PROCESS",1,Inf,"DOWN",1
"GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION",1,Inf,"UP",1
"GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION",1,Inf,"DOWN",1
"GO_NCRNA_CATABOLIC_PROCESS",1,Inf,"UP",1
"GO_NCRNA_CATABOLIC_PROCESS",1,Inf,"DOWN",1
"GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION",0.382272857441568,Inf,"UP",1
"GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION",0.0406736599632883,0.261623810667044,"DOWN",1
"GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS",1,Inf,"UP",1
"GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS",1,Inf,"DOWN",1
"GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION",1,Inf,"UP",1
"GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION",0.201465658227302,0.118578096465687,"DOWN",1
"GO_REGULATION_OF_CELL_MATURATION",1,Inf,"UP",1
"GO_REGULATION_OF_CELL_MATURATION",1,Inf,"DOWN",1
"GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT",0.0108928351372695,Inf,"UP",0.975630762891708
"GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT",0.00105145477033574,0.285748484055932,"DOWN",0.510078401101396
"GO_MAMMARY_GLAND_MORPHOGENESIS",1,Inf,"UP",1
"GO_MAMMARY_GLAND_MORPHOGENESIS",0.0905114365867357,0.176519095110096,"DOWN",1
"GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY",0.618392974496019,Inf,"UP",1
"GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY",0.102589738096705,0.312349391353365,"DOWN",1
"GO_URETER_DEVELOPMENT",1,Inf,"UP",1
"GO_URETER_DEVELOPMENT",1,Inf,"DOWN",1
"GO_BODY_MORPHOGENESIS",1,Inf,"UP",1
"GO_BODY_MORPHOGENESIS",1,Inf,"DOWN",1
"GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE",1,Inf,"UP",1
